AAA,AA,A+,A,BBB+,BBB,BB+,BB,B+,B,CCC,CC,C+,C,Default Adj,N
0.16666637830214054,0.8333318915107029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7301871566644355e-06,6
0.0,0.775504937255402,0.040816049329231684,0.0,0.013605349776410562,0.1088427982112845,0.0,0.0,0.0,0.006802674888205281,0.0,0.047618724217436965,0.006802674888205281,0.0,6.791433823629375e-06,153
0.008571217704313915,0.1628531363819644,0.6228418198468111,0.08571217704313916,0.05142730622588349,0.03428487081725566,0.0,0.0,0.0,0.0,0.03428487081725566,0.0,0.0,0.0,2.4601163376558047e-05,364
0.01606293596220975,0.05488169787088331,0.10039334976381095,0.47921092287259087,0.17267656159375483,0.08968472578900445,0.05220454187718169,0.0,0.017401513959060564,0.0013385779968508125,0.014724357965358937,0.0013385779968508125,0.0,0.0,8.22363524429285e-05,766
0.0,0.01635576832506941,0.035437498037650374,0.11108292654109637,0.5363329029929009,0.12743869486616577,0.07768989954407968,0.04634134358769665,0.020444710406336757,0.0170372586719473,0.0,0.00340745173438946,0.008177884162534704,0.0,0.00025366113013259965,1500
0.0,0.009657605780025315,0.014770455898862249,0.05737754022250335,0.14259170886978553,0.41641323745638564,0.20280972138053163,0.09259939659671332,0.026700439509481755,0.03181328962831869,0.0,0.00284047228824274,0.001704283372945644,0.0,0.0007218489962042317,1856
0.0,0.0,0.004059590306980694,0.006642965956877501,0.024726595506155143,0.06366175708674271,0.4830912465307026,0.18212798331772478,0.12437108485931765,0.04816150318736188,0.02712544432391646,0.01771457588500667,0.01051802943172271,0.005904858628335556,0.0018943649791556807,5786
0.0,0.0,0.0002060909092117218,0.0028852727289641056,0.0049461818210813245,0.017929909101419797,0.1739407273746932,0.33675254565195345,0.24112636377771454,0.10036627278610853,0.05935418185297588,0.03318063638308722,0.02019690910274874,0.004534000002657881,0.00458090850738359,5300
0.0,0.0,0.0,0.0013908300314293596,0.005099710115240985,0.005563320125717438,0.058067153812175754,0.12227714026316451,0.4532946877433521,0.15913413609604252,0.0934174171110053,0.05157661366550542,0.031177773204541473,0.008808590199052611,0.010192627632772388,9394
0.0,0.0,0.0,0.0,0.0007938209940768919,0.0,0.020837801094518413,0.05973502980428611,0.16967923748393562,0.4175498428844451,0.14169704744272518,0.09128941431884256,0.06886397123617036,0.008732030934845808,0.02082180380615391,5520
0.0,0.0,0.0,0.0,0.0,0.0029020267230198122,0.021523364862396945,0.02563456938667501,0.11777391784255406,0.13083303809614324,0.3151117350079013,0.20894592405742649,0.09745973078141537,0.04087020968252903,0.03894548355993861,4608
0.0,0.0,0.0,0.0,0.0,0.0009946440863545492,0.012184390057843227,0.013179034144197776,0.046002288993897904,0.08852332368555488,0.1613810030110256,0.3772187697499627,0.18898237640736434,0.04500764490754335,0.06652652495625566,4329
0.0,0.0,0.0,0.0,0.0,0.0,0.007691714657956542,0.003365125162855987,0.012018304153057095,0.04831358269528952,0.0716290927522203,0.1290765866038332,0.46126251339433133,0.16296820431545422,0.10367487626500181,4605
0.0,0.0,0.0,0.0,0.0,0.0,0.004029970356941819,0.0010074925892354547,0.008395771576962122,0.0013433234523139396,0.013433234523139395,0.029888946813985157,0.12963071314829516,0.6646092780323216,0.14766126950680541,3252
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7189
