Segment,Monthkey,N,Bad
CU,1,21556,815.0
CU,2,21794,885.0
CU,3,21911,920.0
CU,4,22128,960.0
CU,5,22115,989.0
CU,6,22266,1037.0
CU,7,22376,1033.0
CU,8,22473,1069.0
CU,9,22712,1137.0
CU,10,23166,1188.0
CU,11,23574,1213.0
CU,12,23808,1248.0
CU,13,24070,1252.0
CU,14,24184,1284.0
CU,15,24508,1313.0
CU,16,24902,1332.0
CU,17,25172,1343.0
CU,18,25337,1332.0
CU,19,25649,1340.0
CU,20,25903,1354.0
CU,21,26140,1332.0
CU,22,26444,1353.0
CU,23,26663,1341.0
CU,24,27055,1342.0
CU,25,27914,1350.0
CU,26,28109,1334.0
CU,27,28375,1337.0
CU,28,28650,1332.0
CU,29,28792,1333.0
CU,30,29197,1351.0
CU,31,29378,1366.0
CU,32,29676,1373.0
CU,33,29913,1377.0
CU,34,30055,1419.0
CU,35,30346,1451.0
CU,36,30479,1451.0
CU,37,30881,1461.0
CU,38,31045,1439.0
CU,39,31323,1448.0
CU,40,31505,1472.0
CU,41,31598,1464.0
CU,42,31757,1446.0
CU,43,31744,1400.0
CU,44,31836,1364.0
CU,45,31968,1369.0
CU,46,32307,1365.0
CU,47,32672,1375.0
CU,48,32951,1418.0
CU,49,33867,1514.0
CU,50,34154,1546.0
CU,51,34414,1580.0
CU,52,34715,1600.0
CU,53,34873,1622.0
CU,54,34972,1617.0
CU,55,34876,1568.0
CU,56,34958,1614.0
CU,57,35154,1676.0
CU,58,35334,1755.0
CU,59,35632,1840.0
HU,1,64762,1625.0
HU,2,66908,1771.0
HU,3,68961,1906.0
HU,4,71712,2043.0
HU,5,73569,2159.0
HU,6,75841,2283.0
HU,7,77562,2359.0
HU,8,78856,2442.0
HU,9,80054,2580.0
HU,10,80966,2729.0
HU,11,81714,2837.0
HU,12,82273,2883.0
HU,13,83316,2921.0
HU,14,83927,2920.0
HU,15,84497,2937.0
HU,16,84968,2974.0
HU,17,84973,2943.0
HU,18,85041,2913.0
HU,19,85328,2934.0
HU,20,85381,2924.0
HU,21,85602,2884.0
HU,22,85878,2942.0
HU,23,85913,2903.0
HU,24,86088,2931.0
HU,25,87202,2906.0
HU,26,87095,2929.0
HU,27,86984,2928.0
HU,28,86921,2896.0
HU,29,86474,2905.0
HU,30,86581,2886.0
HU,31,86443,2818.0
HU,32,86476,2770.0
HU,33,86401,2749.0
HU,34,86122,2725.0
HU,35,85692,2665.0
HU,36,85120,2613.0
HU,37,84956,2560.0
HU,38,84499,2483.0
HU,39,84410,2459.0
HU,40,84188,2413.0
HU,41,84121,2358.0
HU,42,84339,2375.0
HU,43,84150,2368.0
HU,44,83844,2345.0
HU,45,83440,2338.0
HU,46,83162,2268.0
HU,47,82711,2241.0
HU,48,82133,2304.0
HU,49,83082,2427.0
HU,50,82583,2470.0
HU,51,82130,2503.0
HU,52,81454,2531.0
HU,53,80699,2572.0
HU,54,80042,2536.0
HU,55,79181,2505.0
HU,56,78879,2512.0
HU,57,78543,2566.0
HU,58,78280,2664.0
HU,59,78312,2760.0
