Cluster,Variable,RS_Own,RS_NC,RS_Ratio,Correlation,Group,ABSCorrelation,RankRatio,RankCorrelation,Select
1,GDP_C_lg12,0.871100771465817,0.4977522909001599,0.2566447316707612,-0.8084612327574273,GDP,0.8084612327574273,1.0,1.0,1
1,GDP_C_lg11,0.8961553777494148,0.7450343995064339,0.4072887560108552,-0.7987100594761626,GDP,0.7987100594761626,3.0,2.0,0
1,MPI_C_lg12,0.8583294692200211,0.4712134482855618,0.2679162893244032,-0.7950600646554975,MPI,0.7950600646554975,2.0,3.0,0
1,MPI_C_lg11,0.8080239538311809,0.5470708530740193,0.4238544758529142,-0.7497027712455573,MPI,0.7497027712455573,4.0,4.0,0
1,RSI_C_lg12,0.775688694656789,0.6683343809152154,0.6763176296722804,-0.6571339502065127,RSI,0.6571339502065127,7.0,5.0,0
1,MPI_C_lg10,0.8036499234735258,0.6372526441077091,0.5412860309994254,-0.6512183198164739,MPI,0.6512183198164739,5.0,6.0,0
1,PCI_C_lg12,0.6685550424659649,0.4060906529989858,0.5580733140633147,-0.6157804285561356,PCI,0.6157804285561356,6.0,7.0,0
2,CPI_M9_lg6,0.997147572486071,0.1602772469517761,0.0033968681967644,0.5201876761200515,CPI,0.5201876761200515,1.0,1.0,1
2,CPI_M9_lg5,0.9697307436849494,0.1383736326412159,0.0351303737463809,0.5161721912719847,CPI,0.5161721912719847,7.0,2.0,0
2,CPI_M12_lg4,0.9741392636161093,0.1600818058919935,0.0307895894687158,0.5102085806014095,CPI,0.5102085806014095,5.0,3.0,0
2,CPI_M6_lg8,0.9859428695449972,0.1683544301621645,0.016902790040406,0.5093197203582122,CPI,0.5093197203582122,2.0,4.0,0
2,CPI_M6_lg7,0.9754039819649168,0.137201409184498,0.0285072533693355,0.5079605351141827,CPI,0.5079605351141827,4.0,5.0,0
2,CPI_M9_lg7,0.9780307188618328,0.1773569842131925,0.0267057286290274,0.5075483078954578,CPI,0.5075483078954578,3.0,6.0,0
2,CPI_M12_lg5,0.973329616988358,0.1699062856351341,0.0321293638900137,0.5075360539337661,CPI,0.5075360539337661,6.0,7.0,0
2,CPI_M6_lg9,0.94637714925975,0.1957677059514783,0.0666758238099485,0.4997025750629388,CPI,0.4997025750629388,8.0,8.0,0
2,CPI_M3_lg10,0.9381103678966702,0.1832630129022628,0.0757766981060251,0.4958949346040696,CPI,0.4958949346040696,9.0,9.0,0
2,CPI_M6_lg6,0.9112877616902212,0.1369888477438907,0.1027938492774566,0.4947807094224756,CPI,0.4947807094224756,10.0,10.0,0
3,PII_M12_lg11,0.9565292426582712,0.5146002498733547,0.0895566125248042,-0.6152736055822893,PII,0.6152736055822893,,,0
3,OP_C,0.8889685334296519,0.5180831326846885,0.2303954771056016,-0.6121195148866047,OP,0.6121195148866047,3.0,1.0,1
3,PII_M12_lg12,0.9130239651890596,0.5407645784482553,0.1893931319954604,-0.6110673384222695,PII,0.6110673384222695,,,0
3,PII_M12_lg10,0.9655453314194612,0.6058378908452309,0.0874124320433092,-0.5893143041454236,PII,0.5893143041454236,,,0
3,OP_C_lg1,0.9253134329719316,0.4629955083755825,0.1390799671007306,-0.5664714874622283,OP,0.5664714874622283,1.0,2.0,1
3,PII_M12_lg9,0.939418558435808,0.6824445112646128,0.1907743487774296,-0.5527699130586965,PII,0.5527699130586965,,,0
3,OP_C_lg2,0.8900849433910272,0.3872802847412645,0.1793888035128077,-0.5203754132347364,OP,0.5203754132347364,2.0,3.0,0
3,PII_M12_lg8,0.8852295546740986,0.7264486011847413,0.4195571502210118,-0.5038757020375233,PII,0.5038757020375233,,,0
4,API_C_lg8,0.954485144379033,0.1473205363878891,0.05337862299176,-0.5481910323803542,API,0.5481910323803542,1.0,1.0,1
4,API_C_lg9,0.7992312498755463,0.09284373131956,0.2213166099998341,-0.5301946128060278,API,0.5301946128060278,2.0,2.0,0
4,API_C_lg7,0.802987182874947,0.1843646366113294,0.2415452124421578,-0.5117308504510518,API,0.5117308504510518,3.0,3.0,0
5,CPI_C,0.6694966484333772,0.4815988760948159,0.6375436632484464,-0.5708931419382773,CPI,0.5708931419382773,,,0
5,MPI_M12_lg4,0.9713314685752732,0.4867583801848172,0.0558577681892797,-0.5072743091056252,MPI,0.5072743091056252,1.0,1.0,1
5,MPI_M12_lg5,0.962154798597196,0.4175336709837934,0.0649740586150707,-0.5043606617723737,MPI,0.5043606617723737,2.0,2.0,0
5,MPI_M12_lg3,0.928360723863442,0.5178350102920077,0.1485783448938171,-0.4941737554052078,MPI,0.4941737554052078,3.0,3.0,0
6,GDP_C_lg10,0.9151361755418774,0.7392593010256742,0.3254721061650555,-0.700410345877747,GDP,0.700410345877747,2.0,1.0,1
6,RSI_C_lg11,0.7737468320626945,0.5837534360618668,0.5435556411486284,-0.6027076055040994,RSI,0.6027076055040994,5.0,2.0,0
6,GDP_C_lg9,0.9156928621847776,0.5531160483218291,0.1886555502801703,-0.5746099521106578,GDP,0.5746099521106578,1.0,3.0,1
6,RSI_C_lg10,0.7974190345181754,0.5485813240250162,0.4487651403528794,-0.5565966191885606,RSI,0.5565966191885606,3.0,4.0,0
6,MPI_C_lg9,0.7019542491966214,0.6063579496779602,0.757149167777036,-0.5120841454999946,MPI,0.5120841454999946,6.0,5.0,0
6,PIR_C_lg12,0.5659950160297793,0.4283830573117652,0.7592584326299984,-0.510265428807119,PIR,0.510265428807119,7.0,6.0,0
6,Wage_C_lg9,0.6043271503042217,0.2702631434024085,0.5422130540872071,0.5005280114589481,Wage,0.5005280114589481,4.0,7.0,0
